feature_path,normalized_path,split,dataset,speaker_id,label,label_id,duration_seconds,feature_shape,n_mels,frames,clip_seconds,status,reject_reason
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\features\logmel\train\datagroup1_v17_cloned_0395_00f9282ef0_68d360a985.npy,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v17\cloned\0395_00f9282ef0.wav,train,datagroup1,v17,cloned,1,3.776000,64x401,64,401,4.0,extracted,
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\features\logmel\train\datagroup1_v17_cloned_0396_e7c9fa40ad_2112bf0e51.npy,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v17\cloned\0396_e7c9fa40ad.wav,train,datagroup1,v17,cloned,1,4.704000,64x401,64,401,4.0,extracted,
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\features\logmel\train\datagroup1_v17_cloned_0397_fa0a56ea91_ad7e2e33b3.npy,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v17\cloned\0397_fa0a56ea91.wav,train,datagroup1,v17,cloned,1,4.977688,64x401,64,401,4.0,extracted,
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\features\logmel\train\datagroup1_v17_cloned_0398_b4027f3cb2_4bcf188289.npy,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v17\cloned\0398_b4027f3cb2.wav,train,datagroup1,v17,cloned,1,5.041688,64x401,64,401,4.0,extracted,
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\features\logmel\train\datagroup1_v17_cloned_0399_946f0db95a_6c4f06743d.npy,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v17\cloned\0399_946f0db95a.wav,train,datagroup1,v17,cloned,1,5.041688,64x401,64,401,4.0,extracted,
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\features\logmel\train\datagroup1_v17_cloned_0400_ec521999a4_fc084c6ad2.npy,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v17\cloned\0400_ec521999a4.wav,train,datagroup1,v17,cloned,1,5.093938,64x401,64,401,4.0,extracted,
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\features\logmel\train\datagroup1_v17_cloned_0401_c983d4ee35_47f76844c5.npy,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v17\cloned\0401_c983d4ee35.wav,train,datagroup1,v17,cloned,1,4.832000,64x401,64,401,4.0,extracted,
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\features\logmel\train\datagroup1_v17_cloned_0402_f1e7355ded_99b877aa5f.npy,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v17\cloned\0402_f1e7355ded.wav,train,datagroup1,v17,cloned,1,4.433687,64x401,64,401,4.0,extracted,
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\features\logmel\train\datagroup1_v17_cloned_0403_e49c3b10d5_d2e40b6dd1.npy,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v17\cloned\0403_e49c3b10d5.wav,train,datagroup1,v17,cloned,1,5.041688,64x401,64,401,4.0,extracted,
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\features\logmel\train\datagroup1_v17_cloned_0404_de8880137e_65b08e31bf.npy,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v17\cloned\0404_de8880137e.wav,train,datagroup1,v17,cloned,1,4.544000,64x401,64,401,4.0,extracted,
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\features\logmel\train\datagroup1_v17_cloned_0405_b6112470a5_8eafe906ca.npy,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v17\cloned\0405_b6112470a5.wav,train,datagroup1,v17,cloned,1,3.729687,64x401,64,401,4.0,extracted,
