source_path,normalized_path,dataset,speaker_id,label,source_extension,source_file_size_bytes,source_duration_seconds,normalized_duration_seconds,target_sample_rate,channels,status,reject_reason,source_sha1,normalized_sha1
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\cloned_voices\j01_part000.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v01\cloned\j01_part000_cb1b356513.wav,datagroup1,v01,cloned,.wav,80352,,4.887562,16000,1,normalized,,cb1b3565139a7e5cf315fd4b3481000a1c1b893f,2c19bd04b01273c3d3862363acf3624e21861e7e
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\cloned_voices\j01_part001.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v01\cloned\j01_part001_6c75475486.wav,datagroup1,v01,cloned,.wav,79934,,4.576000,16000,1,normalized,,6c75475486c7c11c75c89d4924491a4a0bd71339,2ed60ece503cb0b8b37d8de7880eb6430959cd24
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\cloned_voices\j01_part002.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v01\cloned\j01_part002_fd64d1370d.wav,datagroup1,v01,cloned,.wav,80352,,4.663563,16000,1,normalized,,fd64d1370dd04504895c8316d48b3420cd48e5ca,fe17e16c6d2cc1579b45571f2a4c31ee29413845
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\cloned_voices\j01_part003.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v01\cloned\j01_part003_6916093f62.wav,datagroup1,v01,cloned,.wav,79934,,4.957438,16000,1,normalized,,6916093f6294da8aa35761969fcab306711f268f,3847134368ae7f7423993ade1e233158a5f09193
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\cloned_voices\j01_part004.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v01\cloned\j01_part004_dcdfe7a4ad.wav,datagroup1,v01,cloned,.wav,80352,,5.015562,16000,1,normalized,,dcdfe7a4ad42d057de2c6ade3e777e40e6305d84,b6e828e43a3a1274fea403c955f911197331f4eb
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\cloned_voices\j01_part005.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v01\cloned\j01_part005_b83c1626c5.wav,datagroup1,v01,cloned,.wav,79936,,4.989438,16000,1,normalized,,b83c1626c5ee60241a4d242eaafbd124c7ec346e,c37a79693ba33e219aecb533bb67a2fc1b13f29b
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\cloned_voices\j01_part006.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v01\cloned\j01_part006_409a3d687e.wav,datagroup1,v01,cloned,.wav,79934,,4.989438,16000,1,normalized,,409a3d687e5b369ef6ec469e0e240353e8041259,9ad17ec7876206fec996be952a54d64775433016
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\cloned_voices\j01_part007.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v01\cloned\j01_part007_30cddad555.wav,datagroup1,v01,cloned,.wav,80352,,5.015562,16000,1,normalized,,30cddad55552197a0de3e58330dea982ea459415,418147d94bdf0d2344b71b71238be2976016705b
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\cloned_voices\j01_part008.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v01\cloned\j01_part008_9a42821321.wav,datagroup1,v01,cloned,.wav,79934,,4.989438,16000,1,normalized,,9a42821321baa21b4235a6377ee02b1b12eca04b,cd3dcb7a38232384b5aa9ed75b53f020d638c2ef
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\cloned_voices\j01_part009.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v01\cloned\j01_part009_1e190cca10.wav,datagroup1,v01,cloned,.wav,80352,,5.015562,16000,1,normalized,,1e190cca10b22bf084b7cc727c2e731f096d33f3,29f9f98429b5040590470ecd280edefb9360c688
