normalized_path,source_path,dataset,speaker_id,label,duration_seconds,rms_dbfs,peak,active_ratio,source_extension,source_sha1,normalized_sha1,accepted,reject_reason,split
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v17\cloned\0395_00f9282ef0.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v17\cloned_voices\0395.mp3,datagroup1,v17,cloned,3.776000,-26.145,0.949982,0.610169,.mp3,00f9282ef080c272b4f5e14c832866d3709a27ce,eb47fff5f6d4ce212bfac5a6a75a0e0554483265,True,,train
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v17\cloned\0396_e7c9fa40ad.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v17\cloned_voices\0396.mp3,datagroup1,v17,cloned,4.704000,-19.241,0.949982,0.816327,.mp3,e7c9fa40ad03dda026c043646479b88279abbcef,a2751b343683a29d7351c53dc451ee2befe3516c,True,,train
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v17\cloned\0397_fa0a56ea91.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v17\cloned_voices\0397.mp3,datagroup1,v17,cloned,4.977688,-22.236,0.949982,0.537134,.mp3,fa0a56ea9107c9dd52c4e6b6ada44c153f3793eb,a1d3430cd7e6bd3357c6edc90fa11e511bf6ac3c,True,,train
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v17\cloned\0398_b4027f3cb2.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v17\cloned_voices\0398.mp3,datagroup1,v17,cloned,5.041688,-18.424,0.950012,0.822282,.mp3,b4027f3cb2ba19ea9bdea536cdd280c1f537871c,4f712addbfd29667ae39fdbdda139bd82e9db087,True,,train
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v17\cloned\0399_946f0db95a.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v17\cloned_voices\0399.mp3,datagroup1,v17,cloned,5.041688,-20.815,0.949982,0.523969,.mp3,946f0db95a56c31bc9493adf94bd03269120ebe0,b0acf7e1abf24eb1cb297ed398b96f39a03ad396,True,,train
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v17\cloned\0400_ec521999a4.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v17\cloned_voices\0400.mp3,datagroup1,v17,cloned,5.093938,-18.239,0.949982,0.899488,.mp3,ec521999a43ac892b6d1749aa85009c2be31c8fd,25f373a0e426435735d039f658275d876a633156,True,,train
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v17\cloned\0401_c983d4ee35.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v17\cloned_voices\0401.mp3,datagroup1,v17,cloned,4.832000,-19.111,0.949982,0.695364,.mp3,c983d4ee3559f9438d5a12f7b02d04172a369fdc,0a7b0aaae492b08977e9fb6e8edc5b89f2c13a9c,True,,train
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v17\cloned\0402_f1e7355ded.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v17\cloned_voices\0402.mp3,datagroup1,v17,cloned,4.433687,-18.160,0.949982,0.711301,.mp3,f1e7355ded65ad03aea85efcd3a9e5a7e25e5102,cb3b3183e80b37898ddd020216a245a3ca9f75bc,True,,train
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v17\cloned\0403_e49c3b10d5.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v17\cloned_voices\0403.mp3,datagroup1,v17,cloned,5.041688,-21.349,0.949982,0.606481,.mp3,e49c3b10d54aa1c4637b48adbc3ce4fa1a941f7a,b9e2e2739b9e2c25772a0481958c85025e076619,True,,train
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v17\cloned\0404_de8880137e.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v17\cloned_voices\0404.mp3,datagroup1,v17,cloned,4.544000,-20.238,0.949982,0.901408,.mp3,de8880137eacfa830c94bcc881fa40af945d7ad3,683f5b4a46683a9a6e423ff7764a4b38ee47d953,True,,train
